Index,group_name,satellite_name,normalized_index,absolute_index
1,Kuiper,KUIPER-00032,1.391,4.4026
2,Kuiper,KUIPER-00052,1.965,5.8684
3,Kuiper,KUIPER-00075,1.4775,4.5622
4,Kuiper,KUIPER-00132,1.9233,5.7636
5,Kuiper,KUIPER-00142,1.7,5.2171
6,Kuiper,KUIPER-00145,1.1436,3.7334
7,Kuiper,KUIPER-00148,1.2908,4.0083
8,Kuiper,KUIPER-00152,1.7065,5.2375
9,Kuiper,KUIPER-00155,1.8577,5.5995
10,Kuiper,KUIPER-00156,1.6263,5.0362
11,Kuiper,KUIPER-00165,1.44,4.5321
12,Kuiper,KUIPER-00166,1.5095,4.7462
13,Kuiper,KUIPER-00168,1.5042,4.7314
14,Kuiper,KUIPER-00169,1.4976,4.7127
15,Kuiper,KUIPER-00170,1.3979,4.3633
16,Kuiper,KUIPER-00171,1.9774,5.9176
17,Kuiper,KUIPER-00172,1.7558,5.3577
18,Kuiper,KUIPER-00173,1.5021,4.7271
19,Kuiper,KUIPER-00174,1.6967,5.209
20,Kuiper,KUIPER-00121,1.3499,4.3018
21,Kuiper,KUIPER-00124,1.2791,4.1112
22,Kuiper,KUIPER-00125,1.3889,4.4083
23,Kuiper,KUIPER-00128,1.2826,4.1179
24,Kuiper,KUIPER-00129,1.3873,4.403
25,Kuiper,KUIPER-00130,1.359,4.3235
26,Kuiper,KUIPER-00134,1.3592,4.324
27,Kuiper,KUIPER-00135,1.3569,4.3177
28,Kuiper,KUIPER-00136,1.3875,4.4034
29,Kuiper,KUIPER-00137,1.3564,4.3166
30,Kuiper,KUIPER-00138,1.3564,4.3166
31,Kuiper,KUIPER-00140,1.344,4.2833
32,Kuiper,KUIPER-00141,1.3868,4.4019
33,Kuiper,KUIPER-00146,1.3596,4.3251
34,Kuiper,KUIPER-00149,1.3878,4.4041
35,Kuiper,KUIPER-00154,1.3686,4.35
36,Kuiper,KUIPER-00157,1.3568,4.3175
37,Iridium-next,IRIDIUM 176,1.6921,9.856
38,Iridium-next,IRIDIUM 175,1.8787,10.3611
39,Iridium-next,IRIDIUM 170,1.7182,10.0579
40,Iridium-next,IRIDIUM 177,1.8656,10.589
41,Iridium-next,IRIDIUM 174,1.7381,10.1763
42,Iridium-next,IRIDIUM 178,1.8985,10.7241
43,Iridium-next,IRIDIUM 179,1.9908,11.0497
44,Qianfan,QIANFAN-7,1.7862,5.4311
45,Qianfan,QIANFAN-19,1.4286,4.736
46,Qianfan,QIANFAN-20,1.2924,4.4023
47,Qianfan,QIANFAN-21,1.7359,5.528
48,Qianfan,QIANFAN-23,1.5378,4.9902
49,Qianfan,QIANFAN-24,1.8543,5.854
50,Qianfan,QIANFAN-25,1.201,4.2145
51,Qianfan,QIANFAN-27,1.9303,5.9733
52,Qianfan,QIANFAN-28,1.9557,5.9978
53,Qianfan,QIANFAN-35,1.9521,6.0311
54,Qianfan,QIANFAN-37,1.0297,3.0594
55,Qianfan,QIANFAN-39,1.7737,5.5973
56,Qianfan,QIANFAN-40,1.1674,3.2072
57,Qianfan,QIANFAN-42,1.7788,5.6269
58,Qianfan,QIANFAN-43,1.0123,2.9805
59,Qianfan,QIANFAN-44,1.074,3.1236
60,Qianfan,QIANFAN-45,1.0274,3.002
61,Qianfan,QIANFAN-46,1.086,3.1378
62,Qianfan,QIANFAN-47,1.06,3.1012
63,Qianfan,QIANFAN-48,1.0665,3.0664
64,Qianfan,QIANFAN-49,1.0213,2.9954
65,Qianfan,QIANFAN-50,1.0309,3.0063
66,Qianfan,QIANFAN-51,1.0619,3.0588
67,Qianfan,QIANFAN-52,1.0176,3.041
68,Qianfan,QIANFAN-53,1.0582,3.0466
69,Qianfan,QIANFAN-54,1.0059,3.0245
70,Qianfan,QIANFAN-92,1.4194,4.1823
